Пол,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
Мужчина,4,7,9,9,8,89,9
Мужчина,4,7,9,9,9,7,5
Женщина,4,7,9,9,9,8,7
Мужчина,4,7,9,9,9,8,8
Мужчина,4,7,9,9,9,10,7
Мужчина,4,7,9,9,10,6,4
Мужчина,4,7,9,10,6,9,7
Мужчина,4,7,9,10,7,8,6
Женщина,4,7,9,10,7,8,8
Мужчина,4,7,9,10,7,9,10
Женщина,4,7,9,10,7,10,6
Женщина,4,7,9,10,8,7,9
Мужчина,4,7,9,10,8,10,7
Мужчина,4,7,9,10,9,7,5
Женщина,4,7,9,10,9,10,8
Женщина,4,7,9,10,9,10,9
Женщина,4,7,9,10,9,89,8
Женщина,4,7,9,10,10,6,4
Мужчина,4,7,10,5,7,89,89
Женщина,4,7,10,5,9,8,7
Женщина,4,7,10,6,4,89,5
Женщина,4,7,10,6,5,89,9
Женщина,4,7,10,6,6,6,89
Мужчина,4,7,10,6,6,7,5
Мужчина,4,7,10,6,7,6,4
Женщина,4,7,10,6,7,7,7
Мужчина,4,7,10,6,7,7,8
Женщина,4,7,10,6,7,8,8
Женщина,4,7,10,6,7,9,6
Женщина,4,7,10,6,7,89,7
Женщина,4,7,10,6,10,6,5
Женщина,4,7,10,6,10,9,4
Мужчина,4,7,10,6,10,10,6
Женщина,4,7,10,7,5,6,6
Женщина,4,7,10,7,5,89,4
Женщина,4,7,10,7,5,89,7
Женщина,4,7,10,7,5,89,8
Мужчина,4,7,10,7,6,8,10
Женщина,4,7,10,7,7,6,6
Женщина,4,7,10,7,7,8,6
Женщина,4,7,10,7,7,8,7
Женщина,4,7,10,7,7,8,8
Женщина,4,7,10,7,7,89,6
Женщина,4,7,10,7,8,4,8
Женщина,4,7,10,7,8,7,6
Женщина,4,7,10,7,8,7,8
Мужчина,4,7,10,7,8,7,9
Мужчина,4,7,10,7,8,8,6
Мужчина,4,7,10,7,8,8,8
Женщина,4,7,10,7,8,8,10
Женщина,4,7,10,7,8,9,4
Женщина,4,7,10,7,8,9,5
Женщина,4,7,10,7,8,9,6
Женщина,4,7,10,7,9,4,7
Мужчина,4,7,10,7,9,7,7
Женщина,4,7,10,7,9,10,8
Женщина,4,7,10,7,9,89,6
Женщина,4,7,10,7,10,5,10
Женщина,4,7,10,7,10,7,6
Женщина,4,7,10,7,10,7,9
Мужчина,4,7,10,7,10,89,9
Женщина,4,7,10,8,4,9,4
Женщина,4,7,10,8,5,89,8
Женщина,4,7,10,8,6,7,8
Мужчина,4,7,10,8,6,8,10
Женщина,4,7,10,8,7,7,6
Женщина,4,7,10,8,7,8,8
Женщина,4,7,10,8,7,9,9
Мужчина,4,7,10,8,8,7,9
Женщина,4,7,10,8,8,8,6
Мужчина,4,7,10,8,8,8,7
Мужчина,4,7,10,8,8,9,8
Женщина,4,7,10,8,8,9,9
Мужчина,4,7,10,8,10,8,6
Мужчина,4,7,10,8,10,8,89
Мужчина,4,7,10,9,3,7,8
Женщина,4,7,10,9,7,6,8
Мужчина,4,7,10,9,7,7,8
Женщина,4,7,10,9,7,8,10
Женщина,4,7,10,9,7,10,10
Мужчина,4,7,10,9,8,5,6
Женщина,4,7,10,9,8,9,4
Женщина,4,7,10,9,9,9,7
Мужчина,4,7,10,9,9,10,5
Женщина,4,7,10,9,10,8,9
Мужчина,4,7,10,9,10,9,4
Женщина,4,7,10,10,5,3,8
Женщина,4,7,10,10,5,5,6
Мужчина,4,7,10,10,5,9,4
Женщина,4,7,10,10,6,3,10
Мужчина,4,7,10,10,6,7,5
Женщина,4,7,10,10,6,10,7
Мужчина,4,7,10,10,6,89,5
Женщина,4,7,10,10,6,89,6
Женщина,4,7,10,10,7,7,4
Женщина,4,7,10,10,7,10,5
Женщина,4,7,10,10,7,89,10
Женщина,4,7,10,10,8,3,9
Женщина,4,7,10,10,8,9,89
Женщина,4,7,10,10,8,10,9
Мужчина,4,7,10,10,9,6,5
Мужчина,4,7,10,10,9,7,6
Женщина,4,7,10,10,10,6,5
Женщина,4,7,10,10,10,10,9
Женщина,4,7,10,10,10,89,5
Женщина,4,7,10,10,10,89,6
Мужчина,4,7,89,4,5,9,89
Женщина,4,7,89,6,7,9,5
Женщина,4,7,89,7,7,9,7
Женщина,4,7,89,7,7,10,6
Женщина,4,7,89,8,7,89,10
Женщина,4,7,89,10,7,89,6
Мужчина,4,8,1,7,5,9,8
Женщина,4,8,1,7,8,8,7
Женщина,4,8,1,7,9,10,7
Женщина,4,8,1,8,7,5,5
Женщина,4,8,2,7,4,9,8
Женщина,4,8,2,8,8,8,8
Женщина,4,8,2,9,5,8,5
Женщина,4,8,3,6,7,4,7
Женщина,4,8,3,7,4,5,6
Мужчина,4,8,3,7,6,8,6
Женщина,4,8,3,8,4,7,7
Женщина,4,8,3,8,6,7,8
Мужчина,4,8,3,8,7,9,7
Женщина,4,8,3,8,8,8,10
Мужчина,4,8,3,8,8,8,10
Мужчина,4,8,3,9,5,10,4
Женщина,4,8,3,9,8,7,8
Мужчина,4,8,3,9,8,9,7
Женщина,4,8,3,9,10,89,10
Мужчина,4,8,3,10,5,10,8
Мужчина,4,8,3,10,8,5,9
Мужчина,4,8,3,10,8,8,8
Мужчина,4,8,3,10,9,9,4
Женщина,4,8,4,5,5,8,6
Мужчина,4,8,4,5,5,9,7
Женщина,4,8,4,6,8,8,8
Женщина,4,8,4,6,8,10,6
Женщина,4,8,4,6,9,8,89
Женщина,4,8,4,6,9,89,7
Женщина,4,8,4,7,5,5,4
Женщина,4,8,4,7,5,10,10
Мужчина,4,8,4,7,7,7,8
Женщина,4,8,4,7,7,10,6
Мужчина,4,8,4,7,7,89,7
Мужчина,4,8,4,7,8,9,7
Женщина,4,8,4,7,9,8,8
Женщина,4,8,4,7,9,89,5
Женщина,4,8,4,8,3,8,8
Мужчина,4,8,4,8,7,9,5
Женщина,4,8,4,8,8,89,7
Мужчина,4,8,4,8,10,8,7
Женщина,4,8,4,8,10,89,4
Мужчина,4,8,4,9,5,9,5
Женщина,4,8,4,9,6,10,8
Мужчина,4,8,4,9,7,8,8
Женщина,4,8,4,9,7,89,8
Мужчина,4,8,4,9,7,89,8
Женщина,4,8,4,9,8,3,6
Женщина,4,8,4,9,10,9,9
Мужчина,4,8,4,9,10,89,4
Женщина,4,8,4,10,7,6,9
Мужчина,4,8,4,10,7,9,7
Женщина,4,8,4,10,7,10,7
Женщина,4,8,4,10,10,7,6
Мужчина,4,8,4,10,10,10,7
Мужчина,4,8,5,4,10,4,4
Женщина,4,8,5,5,8,7,7
Женщина,4,8,5,5,8,8,6
Мужчина,4,8,5,6,5,9,7
Женщина,4,8,5,6,9,9,7
Мужчина,4,8,5,7,5,7,10
Мужчина,4,8,5,7,6,3,6
Мужчина,4,8,5,7,6,7,8
Женщина,4,8,5,7,7,7,7
Мужчина,4,8,5,7,7,7,7
Женщина,4,8,5,7,7,7,8
Женщина,4,8,5,7,7,8,5
Мужчина,4,8,5,7,7,8,5
Женщина,4,8,5,7,7,8,7
Мужчина,4,8,5,7,7,9,7
Мужчина,4,8,5,7,8,6,7
Женщина,4,8,5,7,8,6,10
Мужчина,4,8,5,7,8,7,6
Женщина,4,8,5,7,8,89,6
Мужчина,4,8,5,7,9,7,9
Женщина,4,8,5,7,9,8,7
Женщина,4,8,5,7,9,9,7
Женщина,4,8,5,7,10,7,5
Женщина,4,8,5,8,7,8,7
Мужчина,4,8,5,8,7,9,8
Женщина,4,8,5,8,7,89,5
Мужчина,4,8,5,8,8,7,6
Женщина,4,8,5,8,8,8,10
Мужчина,4,8,5,8,8,9,8
Мужчина,4,8,5,8,8,10,10
Женщина,4,8,5,8,8,89,5
Женщина,4,8,5,8,8,89,7
Женщина,4,8,5,8,9,7,8
Женщина,4,8,5,8,9,8,7
Мужчина,4,8,5,8,9,89,7
Женщина,4,8,5,8,10,8,6
Женщина,4,8,5,8,10,9,7
Женщина,4,8,5,9,5,8,7
Мужчина,4,8,5,9,5,9,7
Женщина,4,8,5,9,6,7,5
Мужчина,4,8,5,9,8,5,4
Мужчина,4,8,5,9,9,6,7
Женщина,4,8,5,9,10,89,4
Женщина,4,8,5,10,6,9,9
Мужчина,4,8,5,10,8,6,10
Женщина,4,8,5,10,8,9,10
Женщина,4,8,5,10,8,89,10
Женщина,4,8,5,10,9,6,7
Женщина,4,8,5,10,9,7,9
Женщина,4,8,5,10,10,89,5
Мужчина,4,8,6,3,7,9,8
Мужчина,4,8,6,4,10,8,7
Женщина,4,8,6,5,7,8,4
Мужчина,4,8,6,5,9,8,6
Женщина,4,8,6,5,9,10,8
Мужчина,4,8,6,5,10,9,7
Женщина,4,8,6,6,4,7,8
Мужчина,4,8,6,6,7,7,9
Женщина,4,8,6,6,8,10,7
Мужчина,4,8,6,6,9,10,10
Женщина,4,8,6,6,10,10,7
Женщина,4,8,6,7,5,5,10
Женщина,4,8,6,7,5,89,7
Женщина,4,8,6,7,6,6,7
Мужчина,4,8,6,7,6,7,6
Женщина,4,8,6,7,6,7,8
Женщина,4,8,6,7,6,8,7
Мужчина,4,8,6,7,6,8,9
Женщина,4,8,6,7,7,8,8
Женщина,4,8,6,7,7,8,9
Женщина,4,8,6,7,7,8,89
Мужчина,4,8,6,7,7,89,4
Женщина,4,8,6,7,7,89,7
Женщина,4,8,6,7,8,7,6
Женщина,4,8,6,7,8,8,6
Женщина,4,8,6,7,8,8,7
Мужчина,4,8,6,7,8,8,9
Женщина,4,8,6,7,9,7,7
Женщина,4,8,6,7,9,8,6
Женщина,4,8,6,7,9,8,7
Мужчина,4,8,6,7,9,10,9
Женщина,4,8,6,7,10,5,7
Женщина,4,8,6,7,10,6,7
Женщина,4,8,6,7,10,7,6
Женщина,4,8,6,7,10,9,6
Мужчина,4,8,6,8,5,10,6
Женщина,4,8,6,8,6,9,6
Мужчина,4,8,6,8,6,10,5
Женщина,4,8,6,8,6,89,7
Женщина,4,8,6,8,7,8,7
Женщина,4,8,6,8,7,10,8
Мужчина,4,8,6,8,8,5,9
Мужчина,4,8,6,8,8,7,7
Мужчина,4,8,6,8,8,7,8
Мужчина,4,8,6,8,8,8,7
Мужчина,4,8,6,8,8,8,8
Женщина,4,8,6,8,8,8,9
Женщина,4,8,6,8,8,10,8
Мужчина,4,8,6,8,8,89,7
Женщина,4,8,6,8,8,89,8
Женщина,4,8,6,8,9,7,8
Женщина,4,8,6,8,9,8,8
Мужчина,4,8,6,8,9,9,7
Мужчина,4,8,6,8,10,6,4
Мужчина,4,8,6,8,10,8,8
Мужчина,4,8,6,9,4,9,7
Женщина,4,8,6,9,4,10,4
Женщина,4,8,6,9,6,10,7
Женщина,4,8,6,9,7,8,7
Женщина,4,8,6,9,7,89,4
Женщина,4,8,6,9,7,89,8
Мужчина,4,8,6,9,7,89,8
Мужчина,4,8,6,9,8,6,5
Женщина,4,8,6,9,8,8,7
Женщина,4,8,6,9,8,9,5
Женщина,4,8,6,9,9,5,5
Женщина,4,8,6,9,9,8,4
Мужчина,4,8,6,9,9,8,5
Мужчина,4,8,6,9,10,7,8
Женщина,4,8,6,9,10,8,9
Мужчина,4,8,6,10,6,10,7
Мужчина,4,8,6,10,7,7,8
Женщина,4,8,6,10,8,8,6
Женщина,4,8,6,10,8,9,7
Мужчина,4,8,6,10,9,89,10
Женщина,4,8,6,10,10,7,7
Мужчина,4,8,7,3,6,7,9
Женщина,4,8,7,4,7,7,10
Женщина,4,8,7,4,9,8,5
Мужчина,4,8,7,5,6,7,7
Женщина,4,8,7,5,6,89,7
Мужчина,4,8,7,5,7,5,7
Мужчина,4,8,7,5,7,7,7
Мужчина,4,8,7,5,7,8,8
Женщина,4,8,7,5,8,8,4
Женщина,4,8,7,5,8,8,5
Женщина,4,8,7,5,9,89,6
Женщина,4,8,7,5,10,9,10
Мужчина,4,8,7,6,5,7,10
Мужчина,4,8,7,6,6,89,7
Женщина,4,8,7,6,7,7,7
Женщина,4,8,7,6,7,7,8
Женщина,4,8,7,6,7,8,8
Мужчина,4,8,7,6,7,10,6
Мужчина,4,8,7,6,9,9,8
Женщина,4,8,7,6,9,10,10
Женщина,4,8,7,6,9,89,7
Женщина,4,8,7,6,10,9,6
Женщина,4,8,7,7,4,7,9
Женщина,4,8,7,7,4,10,5
Женщина,4,8,7,7,4,89,7
Мужчина,4,8,7,7,5,8,7
Женщина,4,8,7,7,5,9,5
Женщина,4,8,7,7,6,7,3
Женщина,4,8,7,7,6,7,89
Мужчина,4,8,7,7,6,89,6
Женщина,4,8,7,7,7,7,7
Женщина,4,8,7,7,7,8,6
Мужчина,4,8,7,7,7,8,8
Мужчина,4,8,7,7,7,9,9
Мужчина,4,8,7,7,7,10,5
Мужчина,4,8,7,7,7,10,6
Женщина,4,8,7,7,7,89,5
Женщина,4,8,7,7,7,89,9
Женщина,4,8,7,7,8,6,9
Мужчина,4,8,7,7,8,7,5
Мужчина,4,8,7,7,8,7,8
Женщина,4,8,7,7,8,8,7
Мужчина,4,8,7,7,8,8,7
Женщина,4,8,7,7,8,10,7
Мужчина,4,8,7,7,8,10,7
Женщина,4,8,7,7,8,10,8
Женщина,4,8,7,7,8,89,4
Мужчина,4,8,7,7,8,89,6
Мужчина,4,8,7,7,9,5,5
Женщина,4,8,7,7,9,7,4
Женщина,4,8,7,7,9,7,8
Женщина,4,8,7,7,9,8,6
Женщина,4,8,7,7,9,9,6
Мужчина,4,8,7,7,9,9,8
Мужчина,4,8,7,7,9,89,6
Женщина,4,8,7,7,9,89,7
Мужчина,4,8,7,7,10,5,7
Женщина,4,8,7,7,10,5,8
Мужчина,4,8,7,7,10,8,5
Женщина,4,8,7,7,10,8,9
Женщина,4,8,7,7,10,10,6
Женщина,4,8,7,7,10,10,7
Женщина,4,8,7,7,10,10,9
Женщина,4,8,7,8,4,89,8
Мужчина,4,8,7,8,5,8,5
Женщина,4,8,7,8,7,7,7
Мужчина,4,8,7,8,7,7,7
Женщина,4,8,7,8,7,7,10
Женщина,4,8,7,8,7,8,8
Мужчина,4,8,7,8,7,10,7
Мужчина,4,8,7,8,8,5,10
Женщина,4,8,7,8,8,7,7
Женщина,4,8,7,8,8,8,6
Мужчина,4,8,7,8,8,8,7
Женщина,4,8,7,8,8,9,7
Женщина,4,8,7,8,8,9,8
Мужчина,4,8,7,8,8,9,9
Женщина,4,8,7,8,8,10,9
Женщина,4,8,7,8,8,89,6
Женщина,4,8,7,8,9,7,6
Мужчина,4,8,7,8,9,8,5
Женщина,4,8,7,8,9,8,6
Женщина,4,8,7,8,9,8,7
Мужчина,4,8,7,8,9,10,7
Женщина,4,8,7,8,9,10,9
Женщина,4,8,7,8,9,89,4
Мужчина,4,8,7,8,9,89,6
Женщина,4,8,7,8,10,7,9
Женщина,4,8,7,8,10,8,9
Женщина,4,8,7,8,10,9,10
Мужчина,4,8,7,8,10,10,8
Женщина,4,8,7,9,5,89,8
Женщина,4,8,7,9,6,6,5
Мужчина,4,8,7,9,7,7,7
Женщина,4,8,7,9,7,9,7
Мужчина,4,8,7,9,7,9,89
Женщина,4,8,7,9,7,89,4
Женщина,4,8,7,9,8,8,7
Женщина,4,8,7,9,8,9,10
Женщина,4,8,7,9,9,7,8
Женщина,4,8,7,9,9,8,89
Мужчина,4,8,7,9,9,89,89
Женщина,4,8,7,9,10,6,6
Женщина,4,8,7,9,10,7,7
Женщина,4,8,7,9,10,8,7
Женщина,4,8,7,9,10,8,9
Женщина,4,8,7,9,10,9,9
Женщина,4,8,7,10,5,7,10
Женщина,4,8,7,10,5,89,5
Мужчина,4,8,7,10,5,89,7
Женщина,4,8,7,10,6,7,10
Женщина,4,8,7,10,7,8,4
Мужчина,4,8,7,10,7,10,5
Женщина,4,8,7,10,8,5,9
Женщина,4,8,7,10,8,6,5
Мужчина,4,8,7,10,8,7,8
Женщина,4,8,7,10,8,8,7
Мужчина,4,8,7,10,8,8,8
Женщина,4,8,7,10,8,8,9
Мужчина,4,8,7,10,8,9,8
Мужчина,4,8,7,10,8,10,8
Женщина,4,8,7,10,8,89,7
Мужчина,4,8,7,10,8,89,7
Женщина,4,8,7,10,9,5,9
Женщина,4,8,7,10,9,6,89
Мужчина,4,8,7,10,9,7,4
Женщина,4,8,7,10,9,9,8
Мужчина,4,8,7,10,9,9,9
Мужчина,4,8,7,10,10,3,9
Женщина,4,8,7,10,10,7,7
Мужчина,4,8,7,10,10,9,4
Женщина,4,8,7,10,10,9,8
Женщина,4,8,8,4,7,5,7
Женщина,4,8,8,4,7,8,7
Мужчина,4,8,8,4,10,10,5
Женщина,4,8,8,5,3,9,9
Женщина,4,8,8,5,4,9,10
Женщина,4,8,8,5,4,89,7
Женщина,4,8,8,5,5,89,5
Женщина,4,8,8,5,7,5,8
Мужчина,4,8,8,5,7,8,5
Женщина,4,8,8,5,7,10,7
Женщина,4,8,8,5,7,89,6
Мужчина,4,8,8,5,7,89,7
Мужчина,4,8,8,5,7,89,10
Женщина,4,8,8,5,8,8,7
Женщина,4,8,8,5,8,9,4
Мужчина,4,8,8,5,8,89,9
Мужчина,4,8,8,5,9,8,8
Женщина,4,8,8,5,9,9,9
Мужчина,4,8,8,5,9,89,5
Женщина,4,8,8,5,10,6,5
Мужчина,4,8,8,6,5,7,6
Женщина,4,8,8,6,6,5,5
Мужчина,4,8,8,6,6,6,9
Женщина,4,8,8,6,6,7,5
Женщина,4,8,8,6,6,8,89
Женщина,4,8,8,6,6,9,5
Женщина,4,8,8,6,6,89,7
Мужчина,4,8,8,6,7,6,9
Женщина,4,8,8,6,7,7,7
Мужчина,4,8,8,6,7,8,5
Женщина,4,8,8,6,7,8,8
Женщина,4,8,8,6,7,9,10
Женщина,4,8,8,6,7,10,5
Женщина,4,8,8,6,7,10,7
Женщина,4,8,8,6,7,89,9
Мужчина,4,8,8,6,8,7,4
Мужчина,4,8,8,6,8,8,5
Женщина,4,8,8,6,8,8,7
Женщина,4,8,8,6,9,7,6
Женщина,4,8,8,6,9,7,10
Женщина,4,8,8,6,9,8,10
Мужчина,4,8,8,6,9,10,8
Мужчина,4,8,8,6,9,89,4
Мужчина,4,8,8,6,10,8,5
Женщина,4,8,8,6,10,9,8
Женщина,4,8,8,6,10,9,9
Женщина,4,8,8,7,2,7,9
Женщина,4,8,8,7,4,7,7
Женщина,4,8,8,7,4,10,7
Женщина,4,8,8,7,4,89,7
Женщина,4,8,8,7,5,7,6
Мужчина,4,8,8,7,5,8,4
Женщина,4,8,8,7,5,8,7
Мужчина,4,8,8,7,5,8,7
Женщина,4,8,8,7,6,7,4
Женщина,4,8,8,7,6,8,7
Женщина,4,8,8,7,6,9,4
Мужчина,4,8,8,7,6,10,7
Женщина,4,8,8,7,7,6,8
Женщина,4,8,8,7,7,7,7
Женщина,4,8,8,7,7,7,10
Мужчина,4,8,8,7,7,7,10
Женщина,4,8,8,7,7,8,4
Женщина,4,8,8,7,7,8,5
Женщина,4,8,8,7,7,8,6
Женщина,4,8,8,7,7,8,7
Мужчина,4,8,8,7,7,8,9
Женщина,4,8,8,7,7,9,8
Женщина,4,8,8,7,7,10,7
Женщина,4,8,8,7,7,89,6
Мужчина,4,8,8,7,7,89,6
Женщина,4,8,8,7,7,89,7
Мужчина,4,8,8,7,7,89,7
Женщина,4,8,8,7,7,89,10
Женщина,4,8,8,7,8,5,7
Мужчина,4,8,8,7,8,8,7
Женщина,4,8,8,7,8,8,8
Мужчина,4,8,8,7,8,9,8
Женщина,4,8,8,7,8,10,7
Мужчина,4,8,8,7,8,89,8
Женщина,4,8,8,7,9,6,8
Мужчина,4,8,8,7,9,7,8
Мужчина,4,8,8,7,9,8,5
Мужчина,4,8,8,7,9,8,7
Мужчина,4,8,8,7,9,8,8
Женщина,4,8,8,7,9,8,10
Женщина,4,8,8,7,9,9,6
Женщина,4,8,8,7,9,9,7
Мужчина,4,8,8,7,9,9,9
Мужчина,4,8,8,7,9,89,4
Женщина,4,8,8,7,9,89,6
Мужчина,4,8,8,7,9,89,7
Женщина,4,8,8,7,9,89,8
Женщина,4,8,8,7,9,89,9
Женщина,4,8,8,7,10,4,89
Женщина,4,8,8,7,10,5,7
Женщина,4,8,8,7,10,7,3
Женщина,4,8,8,7,10,7,9
Мужчина,4,8,8,7,10,8,4
Женщина,4,8,8,7,10,9,8
Мужчина,4,8,8,7,10,9,8
Женщина,4,8,8,7,10,10,8
Мужчина,4,8,8,7,10,10,8
Женщина,4,8,8,7,10,89,5
Женщина,4,8,8,7,10,89,7
Мужчина,4,8,8,8,4,5,89
Мужчина,4,8,8,8,4,89,7
Мужчина,4,8,8,8,5,7,7
Женщина,4,8,8,8,5,8,5
Мужчина,4,8,8,8,5,10,5
Мужчина,4,8,8,8,5,10,7
Мужчина,4,8,8,8,5,10,8
Женщина,4,8,8,8,6,7,89
Мужчина,4,8,8,8,6,89,5
Женщина,4,8,8,8,6,89,8
Мужчина,4,8,8,8,7,6,5
Женщина,4,8,8,8,7,6,7
Мужчина,4,8,8,8,7,7,5
Женщина,4,8,8,8,7,7,6
Женщина,4,8,8,8,7,7,7
Мужчина,4,8,8,8,7,7,9
Женщина,4,8,8,8,7,8,8
Мужчина,4,8,8,8,7,8,8
Женщина,4,8,8,8,7,9,8
Мужчина,4,8,8,8,7,9,8
Женщина,4,8,8,8,7,10,7
Мужчина,4,8,8,8,7,10,7
Женщина,4,8,8,8,7,10,8
Мужчина,4,8,8,8,7,89,5
Женщина,4,8,8,8,7,89,7
Женщина,4,8,8,8,8,5,8
Женщина,4,8,8,8,8,7,10
Мужчина,4,8,8,8,8,8,5
Женщина,4,8,8,8,8,8,6
Женщина,4,8,8,8,8,8,7
Женщина,4,8,8,8,8,8,9
Женщина,4,8,8,8,8,8,10
Мужчина,4,8,8,8,8,8,10
Мужчина,4,8,8,8,8,9,8
Женщина,4,8,8,8,8,10,5
Мужчина,4,8,8,8,8,10,8
Мужчина,4,8,8,8,8,89,4
Мужчина,4,8,8,8,8,89,9
Мужчина,4,8,8,8,9,5,4
Мужчина,4,8,8,8,9,6,7
Мужчина,4,8,8,8,9,7,7
Мужчина,4,8,8,8,9,7,8
Женщина,4,8,8,8,9,8,7
Женщина,4,8,8,8,9,10,6
Мужчина,4,8,8,8,9,10,6
Мужчина,4,8,8,8,9,89,4
Женщина,4,8,8,8,9,89,6
Женщина,4,8,8,8,9,89,8
Мужчина,4,8,8,8,9,89,9
Мужчина,4,8,8,8,10,7,5
Женщина,4,8,8,8,10,7,7
Мужчина,4,8,8,8,10,10,7
Мужчина,4,8,8,8,10,89,7
Женщина,4,8,8,9,4,7,5
Женщина,4,8,8,9,5,7,8
Женщина,4,8,8,9,5,7,9
Мужчина,4,8,8,9,5,89,89
Женщина,4,8,8,9,6,3,7
Мужчина,4,8,8,9,6,5,8
Мужчина,4,8,8,9,7,8,10
Женщина,4,8,8,9,7,89,5
Женщина,4,8,8,9,7,89,6
Мужчина,4,8,8,9,7,89,6
Женщина,4,8,8,9,8,6,8
Мужчина,4,8,8,9,8,8,7
Мужчина,4,8,8,9,8,9,8
Женщина,4,8,8,9,8,10,8
Мужчина,4,8,8,9,8,89,8
Мужчина,4,8,8,9,8,89,9
Женщина,4,8,8,9,9,7,5
Женщина,4,8,8,9,9,7,7
Мужчина,4,8,8,9,9,7,9
Женщина,4,8,8,9,9,8,7
Женщина,4,8,8,9,9,9,6
Мужчина,4,8,8,9,9,9,7
Женщина,4,8,8,9,10,7,8
Женщина,4,8,8,9,10,8,4
Мужчина,4,8,8,9,10,8,9
Женщина,4,8,8,9,10,9,6
Мужчина,4,8,8,10,5,5,5
Женщина,4,8,8,10,5,8,8
Женщина,4,8,8,10,5,9,4
Женщина,4,8,8,10,6,6,3
Мужчина,4,8,8,10,6,7,7
Мужчина,4,8,8,10,6,8,5
Женщина,4,8,8,10,7,6,4
Женщина,4,8,8,10,7,6,8
Женщина,4,8,8,10,7,7,9
Женщина,4,8,8,10,7,9,10
Женщина,4,8,8,10,7,89,7
Женщина,4,8,8,10,8,7,5
Женщина,4,8,8,10,8,9,6
Женщина,4,8,8,10,8,10,7
Мужчина,4,8,8,10,8,89,4
Женщина,4,8,8,10,8,89,7
Женщина,4,8,8,10,9,4,8
Женщина,4,8,8,10,9,4,9
Мужчина,4,8,8,10,9,6,10
Женщина,4,8,8,10,9,7,7
Мужчина,4,8,8,10,9,7,9
Мужчина,4,8,8,10,9,8,7
Женщина,4,8,8,10,9,9,89
Женщина,4,8,8,10,9,10,8
Мужчина,4,8,8,10,9,10,8
Мужчина,4,8,8,10,9,10,10
Мужчина,4,8,8,10,9,89,89
Женщина,4,8,8,10,10,5,5
Женщина,4,8,8,10,10,8,8
Мужчина,4,8,8,10,10,8,8
Женщина,4,8,8,10,10,89,9
Мужчина,4,8,9,4,4,7,6
Женщина,4,8,9,4,4,9,4
Мужчина,4,8,9,4,6,7,5
Женщина,4,8,9,4,8,10,8
Женщина,4,8,9,5,9,89,5
Женщина,4,8,9,6,2,8,8
Женщина,4,8,9,6,5,10,6
Женщина,4,8,9,6,6,9,6
Женщина,4,8,9,6,6,9,7
Мужчина,4,8,9,6,6,89,9
Мужчина,4,8,9,6,7,5,5
Женщина,4,8,9,6,7,8,4
Мужчина,4,8,9,6,7,10,7
Женщина,4,8,9,6,9,9,7
Женщина,4,8,9,6,9,9,9
Женщина,4,8,9,6,10,7,5
Женщина,4,8,9,7,5,7,7
Женщина,4,8,9,7,5,10,7
Мужчина,4,8,9,7,6,7,4
Женщина,4,8,9,7,6,8,7
Женщина,4,8,9,7,6,9,8
Женщина,4,8,9,7,7,7,6
Мужчина,4,8,9,7,7,8,4
Женщина,4,8,9,7,7,8,6
Мужчина,4,8,9,7,7,8,7
Мужчина,4,8,9,7,7,8,9
Женщина,4,8,9,7,7,9,8
Женщина,4,8,9,7,7,10,6
Мужчина,4,8,9,7,8,6,6
Женщина,4,8,9,7,8,6,8
Мужчина,4,8,9,7,8,9,5
Женщина,4,8,9,7,8,9,6
Женщина,4,8,9,7,8,9,7
Женщина,4,8,9,7,8,9,9
Мужчина,4,8,9,7,8,89,6
Женщина,4,8,9,7,8,89,8
Женщина,4,8,9,7,9,8,6
Женщина,4,8,9,7,9,9,5
Мужчина,4,8,9,7,9,89,7
Женщина,4,8,9,7,10,6,4
Мужчина,4,8,9,7,10,10,5
Мужчина,4,8,9,8,4,9,7
Женщина,4,8,9,8,5,7,7
Мужчина,4,8,9,8,6,8,7
Женщина,4,8,9,8,7,5,8
Женщина,4,8,9,8,7,6,6
Женщина,4,8,9,8,7,7,4
Женщина,4,8,9,8,7,7,6
Женщина,4,8,9,8,7,7,7
Мужчина,4,8,9,8,7,9,10
Мужчина,4,8,9,8,7,9,89
Мужчина,4,8,9,8,7,89,5
Женщина,4,8,9,8,8,3,7
Женщина,4,8,9,8,8,7,7
Женщина,4,8,9,8,8,7,9
Женщина,4,8,9,8,8,8,6
Женщина,4,8,9,8,8,8,7
Женщина,4,8,9,8,8,8,8
Мужчина,4,8,9,8,8,10,10
Женщина,4,8,9,8,8,89,9
Мужчина,4,8,9,8,9,7,10
Женщина,4,8,9,8,9,7,89
Мужчина,4,8,9,8,9,8,8
Мужчина,4,8,9,8,9,8,9
Женщина,4,8,9,8,10,7,8
Женщина,4,8,9,8,10,89,5
Мужчина,4,8,9,9,5,7,7
Женщина,4,8,9,9,6,8,4
Мужчина,4,8,9,9,7,4,7
Мужчина,4,8,9,9,7,7,7
Мужчина,4,8,9,9,7,89,8
Женщина,4,8,9,9,8,8,8
Женщина,4,8,9,9,8,10,9
Женщина,4,8,9,9,9,6,7
Мужчина,4,8,9,9,9,8,5
Женщина,4,8,9,9,9,9,9
Женщина,4,8,9,9,9,10,7
Женщина,4,8,9,9,9,89,9
Мужчина,4,8,9,9,10,8,9
